x,y
-2.0,0.82508
-1.5,0.780682
-1.0,0.703686
0.0,0.214165
0.0,1.71659
2.0,0.412356
2.0,3.88137
-0.497522,1.0
0.240329,2.0
3.83997,2.0
-0.2,0.302272
1.8,0.281391
1.6,0.169574
1.4,0.0815743
0.2,0.142653
0.4,0.0847315
0.6,0.0382641
3.0,4.90745
5.0,3.11339
5.0,6.93521
-0.23762,-1.41254
2.23762,0.58746
-2.0,-0.82508
2.23762,-0.58746
-0.23762,1.41254
-0.421023,-1.140341
1.921023,0.359659
-1.5,-0.780682
1.921023,-0.359659
-0.421023,1.140341
-0.555529,-0.851843
1.555529,0.148157
-1.0,-0.703686
1.555529,-0.148157
-0.555529,0.851843
-0.3212475,-0.1070825
0.3212475,-0.1070825
0.0,-0.214165
0.3212475,0.1070825
-0.3212475,0.1070825
-2.574885,-0.858295
2.574885,-0.858295
0.0,-1.71659
2.574885,0.858295
-2.574885,0.858295
-1.618534,0.793822
-0.381466,-1.206178
2.0,-0.412356
-0.381466,1.206178
-1.618534,-0.793822
-6.822055,-0.940685
4.822055,-2.940685
2.0,-3.88137
4.822055,2.940685
-6.822055,0.940685
-1.251239,-0.748761
1.748761,-0.251239
-0.497522,-1.0
1.748761,0.251239
-1.251239,0.748761
-3.1201645,-0.8798355
2.8798355,-1.1201645
0.240329,-2.0
2.8798355,1.1201645
-3.1201645,0.8798355
-4.919985,0.919985
1.080015,-2.919985
3.83997,-2.0
1.080015,2.919985
-4.919985,-0.919985
-0.353408,-0.251136
0.553408,-0.051136
-0.2,-0.302272
0.553408,0.051136
-0.353408,0.251136
-1.3220865,0.7593045
-0.4779135,-1.0406955
1.8,-0.281391
-0.4779135,1.0406955
-1.3220865,-0.7593045
-1.054361,0.715213
-0.545639,-0.884787
1.6,-0.169574
-0.545639,0.884787
-1.054361,-0.715213
-0.82236145,0.65921285
-0.57763855,-0.74078715
1.4,-0.0815743
-0.57763855,0.74078715
-0.82236145,-0.65921285
-0.3139795,0.0286735
0.1139795,-0.1713265
0.2,-0.142653
0.1139795,0.1713265
-0.3139795,-0.0286735
-0.32709725,0.15763425
-0.07290275,-0.24236575
0.4,-0.0847315
-0.07290275,0.24236575
-0.32709725,-0.15763425
-0.35739615,0.28086795
-0.24260385,-0.31913205
0.6,-0.0382641
-0.24260385,0.31913205
-0.35739615,-0.28086795
-8.861175,-0.953725
5.861175,-3.953725
3.0,-4.90745
5.861175,3.953725
-8.861175,0.953725
-7.170085,0.943305
2.170085,-4.056695
5.0,-3.11339
2.170085,4.056695
-7.170085,-0.943305
-12.902815,-0.967605
7.902815,-5.967605
5.0,-6.93521
7.902815,5.967605
-12.902815,0.967605
-0.484234865,0.484234865
-0.484234865,-0.484234865
-0.23762,-1.41254
2.23762,0.58746
-2.0,-0.82508
2.23762,-0.58746
-0.23762,1.41254
-0.421023,-1.140341
1.921023,0.359659
-1.5,-0.780682
1.921023,-0.359659
-0.421023,1.140341
-0.555529,-0.851843
1.555529,0.148157
-1.0,-0.703686
1.555529,-0.148157
-0.555529,0.851843
-0.3212475,-0.1070825
0.3212475,-0.1070825
0.0,-0.214165
0.3212475,0.1070825
-0.3212475,0.1070825
-2.574885,-0.858295
2.574885,-0.858295
0.0,-1.71659
2.574885,0.858295
-2.574885,0.858295
-1.618534,0.793822
-0.381466,-1.206178
2.0,-0.412356
-0.381466,1.206178
-1.618534,-0.793822
-6.822055,-0.940685
4.822055,-2.940685
2.0,-3.88137
4.822055,2.940685
-6.822055,0.940685
-1.251239,-0.748761
1.748761,-0.251239
-0.497522,-1.0
1.748761,0.251239
-1.251239,0.748761
-3.1201645,-0.8798355
2.8798355,-1.1201645
0.240329,-2.0
2.8798355,1.1201645
-3.1201645,0.8798355
-4.919985,0.919985
1.080015,-2.919985
3.83997,-2.0
1.080015,2.919985
-4.919985,-0.919985
-0.353408,-0.251136
0.553408,-0.051136
-0.2,-0.302272
0.553408,0.051136
-0.353408,0.251136
-1.3220865,0.7593045
-0.4779135,-1.0406955
1.8,-0.281391
-0.4779135,1.0406955
-1.3220865,-0.7593045
-1.054361,0.715213
-0.545639,-0.884787
1.6,-0.169574
-0.545639,0.884787
-1.054361,-0.715213
-0.82236145,0.65921285
-0.57763855,-0.74078715
1.4,-0.0815743
-0.57763855,0.74078715
-0.82236145,-0.65921285
-0.3139795,0.0286735
0.1139795,-0.1713265
0.2,-0.142653
0.1139795,0.1713265
-0.3139795,-0.0286735
-0.32709725,0.15763425
-0.07290275,-0.24236575
0.4,-0.0847315
-0.07290275,0.24236575
-0.32709725,-0.15763425
-0.35739615,0.28086795
-0.24260385,-0.31913205
0.6,-0.0382641
-0.24260385,0.31913205
-0.35739615,-0.28086795
-8.861175,-0.953725
5.861175,-3.953725
3.0,-4.90745
5.861175,3.953725
-8.861175,0.953725
-7.170085,0.943305
2.170085,-4.056695
5.0,-3.11339
2.170085,4.056695
-7.170085,-0.943305
-12.902815,-0.967605
7.902815,-5.967605
5.0,-6.93521
7.902815,5.967605
-12.902815,0.967605
-0.484234865,0.484234865
-0.484234865,-0.484234865
-2.0,-0.82508
-1.618534,-0.793822
-1.5,-0.780682
-1.3220865,-0.7593045
-1.251239,-0.748761
-1.054361,-0.715213
-1.0,-0.703686
-0.82236145,-0.65921285
-0.48423487,-0.48423487
-0.35739615,-0.28086795
-0.353408,-0.251136
-0.32709725,-0.15763425
-0.3212475,-0.1070825
-0.3139795,-0.0286735
-0.3139795,0.0286735
-0.3212475,0.1070825
-0.32709725,0.15763425
-0.353408,0.251136
-0.35739615,0.28086795
-0.48423487,0.48423487
-0.82236145,0.65921285
-1.0,0.703686
-1.054361,0.715213
-1.251239,0.748761
-1.3220865,0.7593045
-1.5,0.780682
-1.618534,0.793822
-2.0,0.82508
2.0,0.412356
1.921023,0.359659
1.8,0.281391
1.748761,0.251239
1.6,0.169574
1.555529,0.148157
1.4,0.0815743
0.96846973,0.0
0.6,0.0382641
0.553408,0.051136
0.4,0.0847315
0.3212475,0.1070825
0.2,0.142653
0.1139795,0.1713265
0.0,0.214165
-0.07290275,0.24236575
-0.2,0.302272
-0.24260385,0.31913205
-0.48423487,0.48423487
-0.57763855,0.74078715
-0.555529,0.851843
-0.545639,0.884787
-0.497522,1.0
-0.4779135,1.0406955
-0.421023,1.140341
-0.381466,1.206178
-0.23762,1.41254
0.0,1.71659
0.240329,2.0
2.0,-0.412356
1.921023,-0.359659
1.8,-0.281391
1.748761,-0.251239
1.6,-0.169574
1.555529,-0.148157
1.4,-0.0815743
0.96846973,0.0
0.6,-0.0382641
0.553408,-0.051136
0.4,-0.0847315
0.3212475,-0.1070825
0.2,-0.142653
0.1139795,-0.1713265
0.0,-0.214165
-0.07290275,-0.24236575
-0.2,-0.302272
-0.24260385,-0.31913205
-0.48423487,-0.48423487
-0.57763855,-0.74078715
-0.555529,-0.851843
-0.545639,-0.884787
-0.497522,-1.0
-0.4779135,-1.0406955
-0.421023,-1.140341
-0.381466,-1.206178
-0.23762,-1.41254
0.0,-1.71659
0.240329,-2.0
-2.0,0.82508
-1.5,0.780682
-1.0,0.703686
0.0,0.214165
0.0,1.71659
2.0,0.412356
-0.497522,1.0
0.240329,2.0
-0.2,0.302272
1.8,0.281391
1.6,0.169574
1.4,0.0815743
0.2,0.142653
0.4,0.0847315
0.6,0.0382641
0.96846973,0.0
-0.48423487,-0.48423487
-0.48423487,0.48423487
2.0,-0.412356
1.8,-0.281391
1.6,-0.169574
1.4,-0.0815743
0.6,-0.0382641
0.4,-0.0847315
0.2,-0.142653
0.0,-0.214165
-0.2,-0.302272
-0.57763855,-0.74078715
-0.545639,-0.884787
-0.497522,-1.0
-0.381466,-1.206178
-0.23762,-1.41254
0.0,-1.71659
0.240329,-2.0
-0.57763855,0.74078715
-0.545639,0.884787
-0.381466,1.206178
-0.23762,1.41254
-2.0,-0.82508
-1.618534,-0.793822
-1.5,-0.780682
-1.251239,-0.748761
-1.0,-0.703686
-0.82236145,-0.65921285
-0.35739615,-0.28086795
-0.32709725,-0.15763425
-0.3139795,-0.0286735
-0.3139795,0.0286735
-0.32709725,0.15763425
-0.35739615,0.28086795
-0.82236145,0.65921285
-1.251239,0.748761
-1.618534,0.793822
0.88,0.0
-0.23762,-1.41254
2.23762,0.58746
-2.0,-0.82508
2.23762,-0.58746
-0.23762,1.41254
-0.421023,-1.140341
1.921023,0.359659
-1.5,-0.780682
1.921023,-0.359659
-0.421023,1.140341
-0.555529,-0.851843
1.555529,0.148157
-1.0,-0.703686
1.555529,-0.148157
-0.555529,0.851843
-0.3212475,-0.1070825
0.3212475,-0.1070825
0.0,-0.214165
0.3212475,0.1070825
-0.3212475,0.1070825
-2.574885,-0.858295
2.574885,-0.858295
0.0,-1.71659
2.574885,0.858295
-2.574885,0.858295
-1.618534,0.793822
-0.381466,-1.206178
2.0,-0.412356
-0.381466,1.206178
-1.618534,-0.793822
-6.822055,-0.940685
4.822055,-2.940685
2.0,-3.88137
4.822055,2.940685
-6.822055,0.940685
-1.251239,-0.748761
1.748761,-0.251239
-0.497522,-1.0
1.748761,0.251239
-1.251239,0.748761
-3.1201645,-0.8798355
2.8798355,-1.1201645
0.240329,-2.0
2.8798355,1.1201645
-3.1201645,0.8798355
-4.919985,0.919985
1.080015,-2.919985
3.83997,-2.0
1.080015,2.919985
-4.919985,-0.919985
-0.353408,-0.251136
0.553408,-0.051136
-0.2,-0.302272
0.553408,0.051136
-0.353408,0.251136
-1.3220865,0.7593045
-0.4779135,-1.0406955
1.8,-0.281391
-0.4779135,1.0406955
-1.3220865,-0.7593045
-1.054361,0.715213
-0.545639,-0.884787
1.6,-0.169574
-0.545639,0.884787
-1.054361,-0.715213
-0.82236145,0.65921285
-0.57763855,-0.74078715
1.4,-0.0815743
-0.57763855,0.74078715
-0.82236145,-0.65921285
-0.3139795,0.0286735
0.1139795,-0.1713265
0.2,-0.142653
0.1139795,0.1713265
-0.3139795,-0.0286735
-0.32709725,0.15763425
-0.07290275,-0.24236575
0.4,-0.0847315
-0.07290275,0.24236575
-0.32709725,-0.15763425
-0.35739615,0.28086795
-0.24260385,-0.31913205
0.6,-0.0382641
-0.24260385,0.31913205
-0.35739615,-0.28086795
-8.861175,-0.953725
5.861175,-3.953725
3.0,-4.90745
5.861175,3.953725
-8.861175,0.953725
-7.170085,0.943305
2.170085,-4.056695
5.0,-3.11339
2.170085,4.056695
-7.170085,-0.943305
-12.902815,-0.967605
7.902815,-5.967605
5.0,-6.93521
7.902815,5.967605
-12.902815,0.967605
-0.484234865,0.484234865
-0.484234865,-0.484234865
-2.0,-0.82508
-1.618534,-0.793822
-1.5,-0.780682
-1.3220865,-0.7593045
-1.251239,-0.748761
-1.054361,-0.715213
-1.0,-0.703686
-0.82236145,-0.65921285
-0.48423487,-0.48423487
-0.35739615,-0.28086795
-0.353408,-0.251136
-0.32709725,-0.15763425
-0.3212475,-0.1070825
-0.3139795,-0.0286735
-0.3139795,0.0286735
-0.3212475,0.1070825
-0.32709725,0.15763425
-0.353408,0.251136
-0.35739615,0.28086795
-0.48423487,0.48423487
-0.82236145,0.65921285
-1.0,0.703686
-1.054361,0.715213
-1.251239,0.748761
-1.3220865,0.7593045
-1.5,0.780682
-1.618534,0.793822
-2.0,0.82508
2.0,0.412356
1.921023,0.359659
1.8,0.281391
1.748761,0.251239
1.6,0.169574
1.555529,0.148157
1.4,0.0815743
0.96846973,0.0
0.6,0.0382641
0.553408,0.051136
0.4,0.0847315
0.3212475,0.1070825
0.2,0.142653
0.1139795,0.1713265
0.0,0.214165
-0.07290275,0.24236575
-0.2,0.302272
-0.24260385,0.31913205
-0.48423487,0.48423487
-0.57763855,0.74078715
-0.555529,0.851843
-0.545639,0.884787
-0.497522,1.0
-0.4779135,1.0406955
-0.421023,1.140341
-0.381466,1.206178
-0.23762,1.41254
0.0,1.71659
0.240329,2.0
2.0,-0.412356
1.921023,-0.359659
1.8,-0.281391
1.748761,-0.251239
1.6,-0.169574
1.555529,-0.148157
1.4,-0.0815743
0.96846973,0.0
0.6,-0.0382641
0.553408,-0.051136
0.4,-0.0847315
0.3212475,-0.1070825
0.2,-0.142653
0.1139795,-0.1713265
0.0,-0.214165
-0.07290275,-0.24236575
-0.2,-0.302272
-0.24260385,-0.31913205
-0.48423487,-0.48423487
-0.57763855,-0.74078715
-0.555529,-0.851843
-0.545639,-0.884787
-0.497522,-1.0
-0.4779135,-1.0406955
-0.421023,-1.140341
-0.381466,-1.206178
-0.23762,-1.41254
0.0,-1.71659
0.240329,-2.0
-2.0,0.82508
-1.5,0.780682
-1.0,0.703686
0.0,0.214165
0.0,1.71659
2.0,0.412356
-0.497522,1.0
0.240329,2.0
-0.2,0.302272
1.8,0.281391
1.6,0.169574
1.4,0.0815743
0.2,0.142653
0.4,0.0847315
0.6,0.0382641
0.96846973,0.0
-0.48423487,-0.48423487
-0.48423487,0.48423487
2.0,-0.412356
1.8,-0.281391
1.6,-0.169574
1.4,-0.0815743
0.6,-0.0382641
0.4,-0.0847315
0.2,-0.142653
0.0,-0.214165
-0.2,-0.302272
-0.57763855,-0.74078715
-0.545639,-0.884787
-0.497522,-1.0
-0.381466,-1.206178
-0.23762,-1.41254
0.0,-1.71659
0.240329,-2.0
-0.57763855,0.74078715
-0.545639,0.884787
-0.381466,1.206178
-0.23762,1.41254
-2.0,-0.82508
-1.618534,-0.793822
-1.5,-0.780682
-1.251239,-0.748761
-1.0,-0.703686
-0.82236145,-0.65921285
-0.35739615,-0.28086795
-0.32709725,-0.15763425
-0.3139795,-0.0286735
-0.3139795,0.0286735
-0.32709725,0.15763425
-0.35739615,0.28086795
-0.82236145,0.65921285
-1.251239,0.748761
-1.618534,0.793822
0.88,0.0
-0.23762,-1.41254
2.23762,0.58746
-2.0,-0.82508
2.23762,-0.58746
-0.23762,1.41254
-0.421023,-1.140341
1.921023,0.359659
-1.5,-0.780682
1.921023,-0.359659
-0.421023,1.140341
-0.555529,-0.851843
1.555529,0.148157
-1.0,-0.703686
1.555529,-0.148157
-0.555529,0.851843
-0.3212475,-0.1070825
0.3212475,-0.1070825
0.0,-0.214165
0.3212475,0.1070825
-0.3212475,0.1070825
-2.574885,-0.858295
2.574885,-0.858295
0.0,-1.71659
2.574885,0.858295
-2.574885,0.858295
-1.618534,0.793822
-0.381466,-1.206178
2.0,-0.412356
-0.381466,1.206178
-1.618534,-0.793822
-6.822055,-0.940685
4.822055,-2.940685
2.0,-3.88137
4.822055,2.940685
-6.822055,0.940685
-1.251239,-0.748761
1.748761,-0.251239
-0.497522,-1.0
1.748761,0.251239
-1.251239,0.748761
-3.1201645,-0.8798355
2.8798355,-1.1201645
0.240329,-2.0
2.8798355,1.1201645
-3.1201645,0.8798355
-4.919985,0.919985
1.080015,-2.919985
3.83997,-2.0
1.080015,2.919985
-4.919985,-0.919985
-0.353408,-0.251136
0.553408,-0.051136
-0.2,-0.302272
0.553408,0.051136
-0.353408,0.251136
-1.3220865,0.7593045
-0.4779135,-1.0406955
1.8,-0.281391
-0.4779135,1.0406955
-1.3220865,-0.7593045
